identifier,name,abstract,geo.latitude,geo.longitude,topAttraction,classification.name,classification.values.name,price,city
78f82531-e62f-4a14-b19f-b06a5652b20b,Matterhorn Golf Club,"9+-hole course are 18 holes: The Golf Club Matterhorn is located in the upper Matter valley between Täsch and Randa, framed by Switzerland’s highest mountains.",46.02081413658691,7.749224182135052,False,indooroutdoorclassifications,outdoor,,zermatt
dc2b782d-b1f1-40ee-aef6-2d9f9b012d05,Via Ferrata in Zermatt,"With its impressive rock formations surrounded by thundering waters, the Gorner canyon between Furri (1865m) and Zermatt (1620m) presents a unique display of the beauty and power of nature.",46.02116301296542,7.746656525612845,False,indooroutdoorclassifications,outdoor,,zermatt
897b6c43-dcf6-40ba-8e9e-5b89c396ccd5,Climbing route in Gorner Gorge,,46.0211757,7.7466503,False,indooroutdoorclassifications,outdoor,,zermatt
2887ee26-f6e3-4235-beb8-ed2ef9014bcf,Climbing the Breithorn,,46.0211757,7.7466503,False,indooroutdoorclassifications,outdoor,,zermatt
2f8db592-0185-40d4-a36d-e34276e81b3f,Wolli and the Climate Detective,"On the audio-path, at seven audio points adults and children learn in playful manner just what climate change means for the black-nosed sheep Wolli and his friends. And naturally what we can all do to help improve things.",46.02200829205145,7.74676458938956,False,indooroutdoorclassifications,outdoor,,zermatt
2daefd9c-b37a-4d4d-ae17-a2caa4ecf6e7,Ricola Herb Garden,"The hiking routes around the resort of Zermatt – site of Switzerland’s most famous mountain, the Matterhorn – offer you breathtaking panoramic vistas, lush flowering meadows and fragrant larch forests.",46.02200829205145,7.74676458938956,False,indooroutdoorclassifications,outdoor,,zermatt
20fa6f91-79f8-47a1-9e09-3e89a845b07e,Forest Fun Park in Zermatt,,46.02200832736162,7.746751676638057,False,indooroutdoorclassifications,outdoor,,zermatt
10752551-3a8a-401a-a984-523389c8cb75,Guided tour of Zermatt and Täsch,The location of Zermatt at the foot of the Matterhorn and in the middle of an enormous hiking and ski region makes it one of the world's most attractive vacation villages.,46.02200829205145,7.74676458938956,False,indooroutdoorclassifications,indooroutdoor,,zermatt
a85ddf53-f27d-4a21-b82c-f8aaa131017c,Matterhorn Museum – Zermatlantis,"Under the village square, the museum makes a world of powerful pictures and incredible stories come alive with the staged archeological excavation “Zermatlantis“.",46.01978760881991,7.746325969725628,False,indooroutdoorclassifications,indooroutdoor,,zermatt
ab4eb26e-8b69-4638-9680-6860fd16b7b3,In the footsteps of Lucy Walker,"A weekend at the foot of the Matterhorn, where a pioneering Englishwoman once made history.",46.0236895289399,7.74788586606218,False,indooroutdoorclassifications,indooroutdoor,,zermatt
948a47f7-21b6-43d2-b1eb-7317cc14bdc2,Tracking Edward Whymper,,46.0236895289399,7.74788586606218,False,indooroutdoorclassifications,indoor,,zermatt
76e4e793-8297-471d-81b9-66f1d18bf339,Hiking trip to see blacknose sheep,"An encounter with the largest flock of blacknose sheep is offered by the Julen family in Zermatt, as part of an Alpine hike. Once you have arrived at your destination, you can also try a selection of regional products.",46.0236895289399,7.74788586606218,False,sporttype,hike,,zermatt
4e4e220b-65db-4889-814e-e76dd653c8d2,Chapel walk in Zermatt,,46.0236895289399,7.74788586606218,False,sporttype,hike,,zermatt
a883226c-654e-402c-a678-916a5524d9f8,Via ferrata Schweifinen,"The Mammoth Fixed Rope Trail Schweifine high above the roofs of Zermatt brings action, views into the depth and a magnificent panoramic vista. Three sections with various degrees of difficulty have been installed. The fixed rope trail can also be hiked with a mountain guide.",46.02386767420629,7.747743568742526,False,indooroutdoorclassifications,outdoor,,zermatt
9d7d1d7d-4d1d-4c1f-b797-432744466e10,Wolli Adventure Park Sunnegga,"The Wolli Adventure Park Sunnegga above Zermatt is a sunny haven for all the family. At the Leisee lake there is a playground with a bathing beach, convenient barbecue sites and a legendary panorama.",46.02386767420629,7.747743568742526,False,indooroutdoorclassifications,outdoor,,zermatt
37f7c8d9-bbcc-4735-8867-ff0fbdd2613a,Dirtscooter and Kickbike,The rapid descents on dirtscooter or kickbike offer the ultimate challenge for all thrill-seekers.,46.02386767420629,7.747743568742526,False,indooroutdoorclassifications,outdoor,,zermatt
31804893-1f73-406f-8386-0e218fe1e309,From the Gornergrat guides,,46.0241072740529,7.74849951267242,False,indooroutdoorclassifications,outdoor,,zermatt
57e2ab81-411c-4fa1-ae96-d67e7aaf492f,Fly &amp; Dine with Air Zermatt,Climb aboard and reach for the sky – an unforgettable experience awaits amidst the greatest peaks of the Alps.,46.02926771519034,7.753249909267556,False,toursandsightseeingtype,helikopterrundflug,,zermatt
dae395b6-fd9f-4f70-aa40-73a81d9f09dc,Gorner Gorge,The Gorner Gorge is one of the most fascinating scenic attractions in Zermatt. It is an easy 20-minute walk from the south end of the village of Zermatt.,46.008941476832,7.73955166339874,False,wheelchairaccessibleclassifications,notwheelchairaccessible,,zermatt
8c9fb25a-7344-42f7-a129-67f152eebdb9,Glacier Palace in the Matterhorn Glacier Paradise,"High, higher - the Glacier Palace in the Matterhorn Glacier Paradise. Even the mountain train ride tops all records.",46.00474363794396,7.754115783944891,False,indooroutdoorclassifications,indoor,,zermatt
860f8028-4aa8-4a4e-af5c-4526eda1b36f,Glacier garden Dossen,"Above Fluri lies the glacier garden Dossen, a witness of the last ice age. The visitors can see what is hidden underneath the glacier.",45.9953075294915,7.7307261676777,False,indooroutdoorclassifications,outdoor,,zermatt
1dfb3334-4bca-49f7-9e97-e7094e6c8df8,Gornergrat,"Surrounded by no fewer than 29 peaks above 4,000 meters, such as the majestic Matterhorn and the Dufourspitze as well as the third-longest glacier of the Alps, Gornergrat rewards visitors with unparalleled views.",45.98329383725286,7.783322562811232,False,toursandsightseeingtype,trainrides,,zermatt
b0268a18-589e-4cb6-92cf-1e5944057148,Täschalp,It is a marvelous place in this breathtaking Alpine world and offers a fantastic view of Mt. Weisshorn.,46.05929875948612,7.810976394437619,False,indooroutdoorclassifications,outdoor,,zermatt
c9bbb50a-81d0-40e4-901a-cd2307c61905,Matterhorn Glacier Paradise,The Zermatt Bergbahnen AG take visitors right to Europe’s highest mountain station – at amazing 3883 metres.,45.93871974689392,7.729844259374679,False,wheelchairaccessibleclassifications,wheelchairaccessible,,zermatt
def45e7e-f771-4d65-9d9b-3ba2c7658663,Culinary alpine history night,,46.6251779,8.0462115,False,indooroutdoorclassifications,outdoor,,jungfrau
fc62bd8e-c408-40ad-9160-749ea13fe7c0,Indoor Rope Adventure Park Grindelwald,Visit Europe’s largest indoor rope adventure park at the Grindelwald Sport Centre...,46.62304638192438,8.035684539887718,False,indooroutdoorclassifications,indoor,,jungfrau
af56f26e-dc46-4a8b-a907-ecba052da8d8,Observe the Effects of Climate Change While Hiking,"The climate guide shows you the effects of climate change and explains scientists’ current state of understanding about the subject, all in an area where the impact of climate change is already visible today.",46.62333525766839,8.035491877680322,False,indooroutdoorclassifications,outdoor,,jungfrau
fcbf9f8a-c9af-4bb2-8e7a-8a88850080b2,Alpine games team challenge,A variety of team challenges with the potential to unlock positive emotions are on offer in the heart of the fascinating Jungfrau mountain region. ,46.62455146909529,8.035152762076887,False,gametype,teambuilding,,jungfrau
ccb1c903-f9c6-4800-be4c-209511818c59,Eiger Grand Prix,"Creativity, team spirit, and above all fun and a certain air of nostalgia are the essence of this very special ‘Grand Prix’. Teams are presented with a basic frame and various additional materials, and have to work together to produce a colourful, working Go-cart. The culmination of this intensive team-building phase is the Eiger Grand Prix in which the handmade ‘racing cars’ will take to the course, and where the spectators can appraise the cars on their appearance, cruise control, and of course, their ability to pass the chequered flag! An inspiring competition for teams with a passion for driving and a sense of adventure!",46.62455146909529,8.035152762076887,False,sporttype,buggy,,jungfrau
783ed5cc-7178-4be5-bbaa-0d3d85d0b7cc,Eiger North Face Adventure – Stollenloch,"Fully equipped with helmet and climbing harness, you will summon the courage to tackle the Eiger North Face under the expert instruction of our registered mountain guides. The train to Jungfraujoch makes a special stop at the “Stollenloch”. ",46.62455146909529,8.035152762076887,False,gametype,teambuilding,,jungfrau
64e0bd39-1438-4a0b-ada3-2b8161a6e81a,Glacier Adventure on Jungfraujoch,Immerse yourself in the glacial world of the Jungfrau-Aletsch UNESCO World Heritage Site on a glacier hike and experience the magnificent alpine mountain landscape up close. ,46.62455146909529,8.035152762076887,False,gametype,teambuilding,,jungfrau
4865f252-b7f5-4dac-af5c-c610627a22f2,Fondue making - outdoor kitchen,The OUTDOOR team has found the most beautiful places in the Jungfrau region where you can hold an outdoor cooking event. Each cooking group will be provided on site with the cooking utensils needed for a fondue and a corresponding recipe for its preparation.,46.62455146909529,8.035152762076887,False,month,allyear,,jungfrau
